group,WQSC,location,river,state,Latitude,Longitude,Colour,ColourFill
"Class C",1001,"BEAS AT U/S MANALI, H.P.",BEAS,"HIMACHAL PRADESH","32.237794","77.190564",blue,"#00f"
"Class C",1002,"BEAS AT D/S KULU, H.P.",BEAS,"HIMACHAL PRADESH","31.963639","77.116392",blue,"#00f"
"NOT Class C",1003,"BEAS AT D/S AUT, H.P.",BEAS,"HIMACHAL PRADESH","31.740194","77.207533",red,"#f03"
"NOT Class C",1004,"BEAS AT U/S PANDON DAM, H.P.",BEAS,"HIMACHAL PRADESH","31.669367","77.064236",red,"#f03"
"Class C",1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",BEAS,"HIMACHAL PRADESH","31.422647","76.812947",blue,"#00f"
"Class C",1006,"BEAS AT D/S MANDI, H.P.",BEAS,"HIMACHAL PRADESH","31.712408","76.933089",blue,"#00f"
"NOT Class C",1007,"BEAS AT D/S ALAMPUR, H.P.",BEAS,"HIMACHAL PRADESH","31.83865","76.505144",red,"#f03"
"NOT Class C",1008,"BEAS AT D/S DEHRAGOPIPUR, H.P.",BEAS,"HIMACHAL PRADESH","31.878094","76.203311",red,"#f03"
"NOT Class C",1009,"BEAS AT D/S PONG DAM, H.P.",BEAS,"HIMACHAL PRADESH","31.935022","76.053444",red,"#f03"
"Class C",1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",BEAS,PUNJAB,"32.097933","75.611474",blue,"#00f"
"Class C",1011,"BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA, PUNJAB",BEAS,PUNJAB,"31.51012","75.304936",blue,"#00f"
"Class C",1012,"BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB",BEAS,PUNJAB,"31.374996","75.162691",blue,"#00f"
"Class C",1013,"SATLUJ AT U/S TATAPANI, H.P.",SATLUJ,"HIMACHAL PRADESH","31.247458","77.088208",blue,"#00f"
"Class C",1014,"SATLUJ AT U/S SLAPPER, H.P.",SATLUJ,"HIMACHAL PRADESH","31.421014","76.837836",blue,"#00f"
"Class C",1015,"SATLUJ AT D/S SLAPPER, H.P.",SATLUJ,"HIMACHAL PRADESH","31.412833","76.874881",blue,"#00f"
"NOT Class C",1016,"SATLUJ AT D/S BHAKHRA, H.P.",SATLUJ,"HIMACHAL PRADESH","31.425772","76.421883",red,"#f03"
"NOT Class C",1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",SATLUJ,PUNJAB,"31.380831","76.367228",red,"#f03"
"NOT Class C",1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA, PUNJAB",SATLUJ,PUNJAB,"30.975026","75.608293",red,"#f03"
"NOT Class C",1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR, PUNJAB",SATLUJ,PUNJAB,"30.99775","75.371988",red,"#f03"
"NOT Class C",1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR, PUNJAB",SATLUJ,PUNJAB,"31.139816","74.936455",red,"#f03"
"NOT Class C",1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",GHAGGAR,PUNJAB,"30.618897","76.849176",red,"#f03"
"NOT Class C",1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",GHAGGAR,PUNJAB,"29.76562","75.743852",red,"#f03"
"NOT Class C",1025,"GHAGGAR GH-1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA","GHAGGAR GH-1",HARYANA,"29.598033","75.020611",red,"#f03"
"NOT Class C",1026,"GHAGGAR GH-2 AT CHANDARPUR SYPHON, HARYANA","GHAGGAR GH-2",HARYANA,"29.766164","75.743274",red,"#f03"
"Class C",1028,"KRISHNA AT TINTINI BRIDGE, KARNATAKA",KRISHNA,KARNATAKA,"16.369172","76.656647",blue,"#00f"
"NOT Class C",1029,"TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNATAKA",TUNGHABHADRA,KARNATAKA,"14.325397","75.771092",red,"#f03"
