group,WQSC,location,river,state,Latitude,Longitude
"Class C",1,"SABARMATI AT DHAROI DAM",SABARMATI,GUJARAT,"24.004528","72.853278"
"NOT Class C",10,"TAPI AT BURHANPUR",TAPI,"MADHYA PRADESH","21.286389","76.222361"
"NOT Class C",10004,"RIVER YAMUNA AT KHOJIPUR PANIPAT","RIVER YAMUNA",HARYANA,"29.260009","77.130143"
"Class C",1001,"BEAS AT U/S MANALI",BEAS,"HIMACHAL PRADESH","32.237794","77.190564"
"NOT Class C",10018,"RIVER BAITARNI AT CHANDBALI D/S","RIVER BAITARNI",ODISHA,"20.771465","86.737773"
"Class C",1002,"BEAS AT D/S KULU",BEAS,"HIMACHAL PRADESH","31.963639","77.116392"
"Class C",10020,"RIVER SUTLEJ AT ANANDPUR SAHIB","RIVER SUTLEJ",PUNJAB,"31.213915","76.501458"
"Class C",10021,"RIVER SUTLEJ AT BUNGA SAHIB","RIVER SUTLEJ",PUNJAB,"31.003962","76.151872"
"NOT Class C",10022,"RIVER SUTLEJ AT PHILLAUR U/S","RIVER SUTLEJ",PUNJAB,"30.996977","75.786695"
"NOT Class C",10023,"RIVER SUTLEJ AT PHAGWARA U/S (CHAHERU BRIDGE)","RIVER SUTLEJ",PUNJAB,"31.271047","75.690923"
"NOT Class C",10024,"RIVER SUTLEJ AT PHAGWARA D/S (KANGANIWAL BRIDGE)","RIVER SUTLEJ",PUNJAB,"31.207777","75.610449"
"NOT Class C",10025,"RIVER SUTLEJ AT JALANDHAR U/S (PEERU SHAH KA DARGAH)","RIVER SUTLEJ",PUNJAB,"31.216777","75.597842"
"NOT Class C",10026,"RIVER SUTLEJ AT JALANDHAR D/S (MALSIAN BRIDGE)","RIVER SUTLEJ",PUNJAB,"31.34787","75.337827"
"Class C",10027,"RIVER SUTLEJ AT LUDHIANA U/S","RIVER SUTLEJ",PUNJAB,"30.993962","75.795903"
"NOT Class C",10028,"RIVER SUTLEJ AT LUDHIANA D/S","RIVER SUTLEJ",PUNJAB,"30.996657","75.788897"
